رقم التكليف,المقر,تاريخ القياس,نظام القياس ,المحول,اتجاه السكينة,قدرةالسكينة,قياس التيار R,قياس التيار S,قياس التيار T,قياس التيار N,الجهد بين الفازات RS,الجهد بين الفازات RT,الجهد بين الفازات ST,الجهد بين الفازات RN,الجهد بين الفازات SN,الجهد بين الفازات TN
3156,الوسطى,02/08/2023,صيفي,مدارس المعسكر - دير البلح,غربي,630,55,60,110,65,360,365,360,210,207,209
3156,الوسطى,02/08/2023,صيفي,مدارس المعسكر - دير البلح,جنوبي,630,66,150,80,86,360,365,360,210,207,209
3164,الوسطى,05/07/2023,صيفي,مدخل البصة,شمالي,250,50,80,50,35,400,400,400,230,230,230
3164,الوسطى,05/07/2023,صيفي,مدخل البصة,شرقي,630,10,50,5,45,400,400,400,230,230,230
3164,الوسطى,05/07/2023,صيفي,مدخل البصة,جنوبي,400,90,90,80,20,400,400,400,230,230,230
3165,الوسطى,06/08/2023,صيفي,مدرسة شهداء دير البلح ,شمالي,630,30,90,85,45,369,377,378,215,215,219
3165,الوسطى,06/08/2023,صيفي,مدرسة شهداء دير البلح ,شرقي,630,30,85,50,51,369,377,378,215,215,219
3165,الوسطى,06/08/2023,صيفي,مدرسة شهداء دير البلح ,جنوبي,630,17,33,3,27,369,377,378,215,215,219
3093,الوسطى,19/07/2023,صيفي,مركز يافا,شمالي,400,285,310,180,23,386,386,386,221,221,221
3165,الوسطى,06/08/2023,صيفي,مستشفى الاقصى,شرقي,630,12,23,11,0,415,415,414,240,241,240
3250,الوسطى,28/08/2023,صيفي,مستشفى الاقصى ارضي - الولادة,1,1600,312,370,397,0,400,400,400,230,230,230
3153,الوسطى,03/08/2023,صيفي,مسجد السلام ,شمالي,630,250,170,170,105,372,363,371,210,212,215
3153,الوسطى,03/08/2023,صيفي,مسجد السلام ,جنوبي,630,120,90,70,55,372,363,371,210,212,215
3179,الوسطى,08/08/2023,صيفي,مصنع ابو سلطان - خاص,جنوبي,400,61,58,72,15,400,400,401,230,230,230
3039,الوسطى,11/07/2023,صيفي,مضخة مجاري البركة,شمالي,400,19,25,22,0,390,396,395,222,227,231
3039,الوسطى,11/07/2023,صيفي,مضخة مجاري البركة,شرقي,630,69,121,77,58,390,396,395,222,227,231
3093,الوسطى,19/07/2023,صيفي,يافا سكان,شمالي,630,35,70,45,0,370,373,375,214,214,214
3093,الوسطى,19/07/2023,صيفي,يافا سكان,شرقي,630,8,6,2,0,370,373,375,214,214,214
3093,الوسطى,19/07/2023,صيفي,يافا سكان,غربي,630,23,70,107,78,370,373,375,214,214,214
3093,الوسطى,19/07/2023,صيفي,يافا سكان,جنوبي,630,20,6,35,25,370,373,375,214,214,214
